Year,Consumption
1949,5.76
1950,6.46
1951,7.02
1952,7.27
1953,7.60
1954,7.76
1955,8.46
1956,8.78
1957,8.81
1958,9.12
1959,9.53
1960,9.80
1961,9.98
1962,10.40
1963,10.74
1964,11.02
1965,11.51
1966,12.08
1967,12.56
1968,13.39
1969,14.14
1970,14.70
1971,15.21
1972,16.37
1973,17.31
1974,16.65
1975,16.32
1976,17.46
1977,18.43
1978,18.85
1979,18.51
1980,17.06
1981,16.06
1982,15.30
1983,15.23
1984,15.73
1985,15.73
1986,16.28
1987,16.67
1988,17.28
1989,17.33
1990,16.99
1991,16.71
1992,17.03
1993,17.24
1994,17.72
1995,17.72
1996,18.31
1997,18.62
1998,18.92
1999,19.52
2000,19.70
2001,19.65
2002,19.76
2003,20.03
2004,20.73
2005,20.80
2006,20.69
2007,20.68
2008,19.50
2009,18.77
2010,19.18
2011,18.88
2012,18.49
2013,18.96
2014,19.10
2015,19.53
2016,19.69
2017,19.95
2018,20.51
2019,20.54
2020,18.19
2021,19.89
2022,20.01
2023,20.28
2024,20.31
